Version	GMID-X v 1.2
Chemistry Kit	AmpFLSTR_Panels_v5X
BinSet Name	AmpFLSTR_Bins_v5X
Panel Name	COfiler_v1.4X
Marker Name	D3S1358
23.2	185.0	0.5	0.5	virtual
24	187.0	0.5	0.5	
24.2	189.0	0.5	0.5	
25	191.0	0.5	0.5	
25.2	193.0	0.5	0.5	virtual
26	195.0	0.5	0.5	
26.2	197.0	0.5	0.5	virtual
27	199.0	0.5	0.5	
27.2	201.0	0.5	0.5	virtual
28	203.0	0.5	0.5	
28.2	205.0	0.5	0.5	
29	207.0	0.5	0.5	
29.2	209.0	0.5	0.5	
30	211.0	0.5	0.5	
30.2	213.0	0.5	0.5	
31	215.0	0.5	0.5	
31.2	217.0	0.5	0.5	
32	219.0	0.5	0.5	
32.2	221.0	0.5	0.5	
33	223.0	0.5	0.5	
33.2	225.0	0.5	0.5	
34	227.0	0.5	0.5	
34.2	229.0	0.5	0.5	
35	231.0	0.5	0.5	
35.2	233.0	0.5	0.5	
36	235.0	0.5	0.5	
36.2	237.0	0.5	0.5	virtual
37	239.0	0.5	0.5	
37.2	241.0	0.5	0.5	virtual
38	243.0	0.5	0.5	
38.2	245.0	0.5	0.5	virtual
39	247.0	0.5	0.5	virtual
Marker Name	D18S51
7	265.0	0.5	0.5	
8	269.0	0.5	0.5	virtual
9	273.0	0.5	0.5	
9.2	275.0	0.5	0.5	virtual
10	277.0	0.5	0.5	
10.2	279.0	0.5	0.5	
11	281.0	0.5	0.5	
11.2	283.0	0.5	0.5	virtual
12	285.0	0.5	0.5	
12.2	287.0	0.5	0.5	virtual
13	289.0	0.5	0.5	
13.2	291.0	0.5	0.5	
14	293.0	0.5	0.5	
14.2	295.0	0.5	0.5	
15	297.0	0.5	0.5	
15.2	299.0	0.5	0.5	virtual
16	301.0	0.5	0.5	
16.2	303.0	0.5	0.5	virtual
17	305.0	0.5	0.5	
17.2	307.0	0.5	0.5	virtual
18	309.0	0.5	0.5	
18.2	311.0	0.5	0.5	virtual
19	313.0	0.5	0.5	
19.2	315.0	0.5	0.5	virtual
20	317.0	0.5	0.5	
20.2	319.0	0.5	0.5	virtual
21	321.0	0.5	0.5	
21.2	323.0	0.5	0.5	virtual
22	325.0	0.5	0.5	
22.2	327.0	0.5	0.5	virtual
23	329.0	0.5	0.5	
