D1S1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,AUSTRIA,BELGIUM,BOSNIA AND HERZEGOWINA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,KENYA,MONTENEGRO,NETHERLANDS,NORWAY,POLAND,SAUDI ARABIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,THAILAND,VIETNAM
19,"0,0100704","0,00281577","0,006","0,00784877","0,0122304","0,0045045",,"0,0116959","0,022","0,0075","0,0075","0,006","0,00434783","0,00721154","0,0127389","0,0192308","0,0200893","0,00657895","0,01507","0,00196078","0,0125","0,00935701","0,0123762","0,00728155","0,00669216","0,0121457","0,0187431","0,00341064","0,0143488","0,00941176","0,0128125","0,009","0,005"
20,"0,000801053","0,000804505","0,0005","0,000442184","0,000980301",,,,"0,001","0,0025","0,005","0,0005",,"0,00480769","0,000636943","0,00240385","0,00223214","0,00164474","0,000538213",,"0,0025","0,00071977","0,00247525",,,,"0,00110254","0,00136426",,"0,00117647","0,000625","0,000333333","0,001"
D3S1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Asia,Europe,ITALY,SAUDI ARABIA,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2625,500,2125,929,500,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"0,000190476",,"0,000235294",,,"0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"0,000380952","0,001","0,000235294",,"0,001","0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"0,004","0,008","0,00305882","0,00322928","0,008","0,00292642",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"0,108","0,117","0,105882","0,103875","0,117","0,107441",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"0,0672381","0,079","0,0644706","0,0688913","0,079","0,0610368",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"0,114857","0,133","0,110588","0,110872","0,133","0,110368",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"0,313524","0,34","0,307294","0,301399","0,34","0,311873",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"0,185905","0,167","0,190353","0,200215","0,167","0,182692",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"0,144762","0,096","0,156235","0,149085","0,096","0,161789",,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"0,0512381","0,045","0,0527059","0,0548977","0,045","0,0510033",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"0,00857143","0,012","0,00776471","0,00645856","0,012","0,00877926",,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"0,00133333","0,002","0,00117647","0,00107643","0,002","0,00125418",,,,,,,,,,,,,,,,,,,,,,,,,,,
D4S2366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Asia,Europe,ITALY,SAUDI ARABIA,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2625,500,2125,929,500,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"0,306476","0,299","0,308235","0,2831","0,299","0,327759",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"0,14381","0,107","0,152471","0,138321","0,107","0,163462",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"0,095619","0,172","0,0776471","0,0850377","0,172","0,0719064",,,,,,,,,,,,,,,,,,,,,,,,,,,
"11,2","0,000380952",,"0,000470588","0,00107643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"0,19581","0,243","0,184706","0,181916","0,243","0,186873",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,2","0,000571429",,"0,000705882",,,"0,00125418",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"0,158286","0,106","0,170588","0,193757","0,106","0,152592",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"0,0935238","0,066","0,1","0,114101","0,066","0,0890468",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"0,00514286","0,005","0,00517647","0,00269107","0,005","0,00710702",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"0,000380952","0,002",,,"0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5S818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,CROATIA,DOMINICAN REPUBLIC,GERMANY,ITALY,KENYA,NETHERLANDS,SAUDI ARABIA,SLOVENIA,SOUTH AFRICA,SWITZERLAND,THAILAND,VIETNAM,,,,,,,,,,,,,,,,
,12796,1243,1000,4523,6030,500,1000,619,929,510,2084,523,700,733,1198,3000,1000,,,,,,,,,,,,,,,,
7,"0,0112926","0,000804505","0,0125","0,0274154","0,00116086","0,001","0,0125","0,00323102",,,"0,000479846",,"0,00142857","0,00136426","0,00208681","0,0275","0,0415",,,,,,,,,,,,,,,,
8,"0,00922163","0,0454545","0,028","0,00254256","0,00364842","0,004","0,028","0,00403877","0,00592034","0,0676471","0,00359885","0,0105163","0,00214286","0,0300136","0,00250417","0,00133333","0,002",,,,,,,,,,,,,,,,
9,"0,043959","0,0309735","0,027","0,0591422","0,0380597","0,044","0,027","0,0387722","0,0457481","0,0284314","0,0304702","0,0755258","0,0528571","0,0327422","0,0338063","0,0525","0,0705",,,,,,,,,,,,,,,,
10,"0,118904","0,0808528","0,057","0,218881","0,0620232","0,059","0,057","0,0638126","0,0791173","0,0598039","0,0506238","0,123327","0,0864286","0,095498","0,0546745","0,229333","0,2375",,,,,,,,,,,,,,,,
11,"0,304939","0,24457","0,2715","0,282998","0,339386","0,346","0,2715","0,339257","0,314316","0,173529","0,352207","0,26195","0,308571","0,293997","0,351836","0,288667","0,277",,,,,,,,,,,,,,,,
12,"0,324867","0,364039","0,362","0,241322","0,3733","0,353","0,362","0,376414","0,360065","0,391176","0,37644","0,34608","0,385","0,345157","0,37813","0,229","0,2235",,,,,,,,,,,,,,,,
"12,1","0,0000781494","0,000402253",,"0,000110546",,,,,,"0,000980392",,,,,,,"0,0005",,,,,,,,,,,,,,,,
13,"0,173296","0,214401","0,2225","0,154986","0,170398","0,18","0,2225","0,160743","0,182992","0,255882","0,174904","0,171128","0,154286","0,185539","0,163189","0,157667","0,1385",,,,,,,,,,,,,,,,
14,"0,0114489","0,0168946","0,0135","0,0103913","0,0107794","0,013","0,0135","0,0129241","0,0107643","0,0196078","0,00959693","0,0105163","0,00857143","0,0150068","0,0121035","0,011","0,0085",,,,,,,,,,,,,,,,
15,"0,00179744","0,00160901","0,004","0,00221092","0,00116086",,"0,004","0,000807754","0,00107643","0,00294118","0,00143954","0,000956023","0,000714286","0,000682128","0,00166945","0,003","0,0005",,,,,,,,,,,,,,,,
16,"0,000195374",,"0,002",,"0,0000829187",,"0,002",,,,"0,000239923",,,,,,,,,,,,,,,,,,,,,,
D5S2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Europe,ITALY,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2125,2125,929,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"0,000235294","0,000235294",,"0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"0,00376471","0,00376471","0,00592034","0,0020903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"0,0978824","0,0978824","0,101722","0,0948997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"0,271529","0,271529","0,275027","0,268813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"0,174824","0,174824","0,172228","0,176839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"0,0567059","0,0567059","0,050592","0,0614548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,2","0,000235294","0,000235294",,"0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"0,0548235","0,0548235","0,0527449","0,0564381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"0,228235","0,228235","0,214747","0,238712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"0,0898824","0,0898824","0,100646","0,0815217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"0,0188235","0,0188235","0,0236814","0,0150502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"0,00305882","0,00305882","0,00269107","0,00334448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5S2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Asia,SAUDI ARABIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"0,021","0,021","0,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"0,238","0,238","0,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"0,003","0,003","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"0,001","0,001","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"0,239","0,239","0,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"0,28","0,28","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"0,006","0,006","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"0,025","0,025","0,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"0,003","0,003","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"0,165","0,165","0,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"0,019","0,019","0,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6S474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Asia,Europe,ITALY,SAUDI ARABIA,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2625,500,2125,929,500,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"0,000190476","0,001",,,"0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"0,000380952",,"0,000470588","0,000538213",,"0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"0,00209524","0,002","0,00211765","0,00322928","0,002","0,00125418",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"0,272571","0,345","0,255529","0,263186","0,345","0,249582",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"0,209143","0,244","0,200941","0,189989","0,244","0,209448",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,1","0,000190476",,"0,000235294",,,"0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"0,144381","0,214","0,128","0,137244","0,214","0,120819",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"0,271429","0,143","0,301647","0,293864","0,143","0,307692",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"0,0914286","0,039","0,103765","0,104952","0,039","0,102843",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"0,008","0,012","0,00705882","0,00699677","0,012","0,00710702",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"0,000190476",,"0,000235294",,,"0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,
D6S1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7S820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,CROATIA,DOMINICAN REPUBLIC,GERMANY,ITALY,KENYA,NETHERLANDS,SAUDI ARABIA,SLOVENIA,SOUTH AFRICA,SWITZERLAND,THAILAND,VIETNAM,,,,,,,,,,,,,,,,
,12796,1243,1000,4523,6030,500,1000,619,929,510,2084,523,700,733,1198,3000,1000,,,,,,,,,,,,,,,,
6,"0,000195374",,"0,0015","0,000110546","0,0000829187",,"0,0015",,,,,,"0,000714286",,,"0,000166667",,,,,,,,,,,,,,,,,
"6,3","0,0000390747",,,,"0,0000829187",,,,,,,,,,"0,000417362",,,,,,,,,,,,,,,,,,
7,"0,0138324","0,00965406","0,014","0,00751713","0,019403","0,017","0,014","0,0201939","0,0199139","0,00588235","0,0191939","0,0124283","0,0214286","0,0122783","0,0187813","0,0065","0,008",,,,,,,,,,,,,,,,
"7,1","0,0000390747","0,000402253",,,,,,,,"0,000980392",,,,,,,,,,,,,,,,,,,,,,,
"7,3","0,0000390747","0,000402253",,,,,,,,,,,,"0,000682128",,,,,,,,,,,,,,,,,,,
8,"0,172046","0,179807","0,2025","0,16604","0,1699","0,169","0,2025","0,167205","0,171152","0,203922","0,165547","0,165392","0,163571","0,163029","0,18197","0,1665","0,165",,,,,,,,,,,,,,,,
9,"0,12246","0,130732","0,105","0,0749503","0,159287","0,167","0,105","0,155897","0,109257","0,128431","0,179942","0,110899","0,173571","0,132333","0,152337","0,0718333","0,0655",,,,,,,,,,,,,,,,
"9,1","0,00140669",,,"0,00386911","0,0000829187",,,,,,,,,,"0,000417362","0,00233333","0,0105",,,,,,,,,,,,,,,,
"9,2","0,0000390747",,,"0,000110546",,,,,,,,,,,,,"0,0005",,,,,,,,,,,,,,,,
"9,3","0,0000390747",,,"0,000110546",,,,,,,,,,,,"0,000166667",,,,,,,,,,,,,,,,,
10,"0,247851","0,311344","0,299","0,194451","0,266335","0,286","0,299","0,265751","0,280409","0,362745","0,259357","0,361377","0,272143","0,27558","0,25626","0,176833","0,16",,,,,,,,,,,,,,,,
"10,1","0,000234448","0,000402253","0,0005","0,000442184",,,"0,0005",,,"0,000980392",,,,,,"0,000333333","0,001",,,,,,,,,,,,,,,,
"10,3","0,000117224","0,000402253",,"0,000110546","0,0000829187",,,,,,"0,000239923",,,"0,000682128",,"0,000166667",,,,,,,,,,,,,,,,,
11,"0,253673","0,20716","0,21","0,341809","0,204395","0,187","0,21","0,226979","0,226588","0,185294","0,192418","0,1826","0,197857","0,222374","0,207429","0,366333","0,3515",,,,,,,,,,,,,,,,
"11,1","0,000195374",,,"0,00055273",,,,,,,,,,,,"0,000333333","0,0015",,,,,,,,,,,,,,,,
"11,3","0,0000781494",,,"0,000110546","0,0000829187",,,,,,"0,000239923",,,,,"0,000166667",,,,,,,,,,,,,,,,,
12,"0,152313","0,131134","0,14","0,179306","0,138474","0,15","0,14","0,126817","0,158773","0,0970588","0,127639","0,146272","0,137857","0,154843","0,143155","0,177","0,2035",,,,,,,,,,,,,,,,
"12,3","0,0000390747",,,"0,000110546",,,,,,,,,,,,"0,000166667",,,,,,,,,,,,,,,,,
13,"0,0299703","0,0269509","0,0225","0,0253151","0,0353234","0,021","0,0225","0,0298869","0,0301399","0,0147059","0,0455854","0,0200765","0,0278571","0,0354707","0,0346411","0,025","0,029",,,,,,,,,,,,,,,,
14,"0,00515786","0,00120676","0,005","0,00486403","0,00621891","0,003","0,005","0,00726979","0,00376749",,"0,00911708","0,000956023","0,005","0,00204638","0,00459098","0,00583333","0,004",,,,,,,,,,,,,,,,
15,"0,000234448","0,000402253",,"0,000221092","0,000248756",,,,,,"0,00071977",,,"0,000682128",,"0,000333333",,,,,,,,,,,,,,,,,
D7S3048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Asia,SAUDI ARABIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"0,003","0,003","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"0,068","0,068","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"0,091","0,091","0,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"0,061","0,061","0,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"0,075","0,075","0,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"0,106","0,106","0,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"0,086","0,086","0,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"0,186","0,186","0,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"0,181","0,181","0,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"0,098","0,098","0,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"0,037","0,037","0,037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"0,006","0,006","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"0,001","0,001","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"0,001","0,001","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7S1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Europe,ITALY,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2125,2125,929,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"0,000235294","0,000235294","0,000538213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"0,000235294","0,000235294","0,000538213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"0,00258824","0,00258824","0,00269107","0,00250836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"0,00329412","0,00329412","0,00269107","0,00376254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"0,0310588","0,0310588","0,0236814","0,0367893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"0,105176","0,105176","0,0974166","0,111204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"0,112235","0,112235","0,118945","0,107023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"0,106353","0,106353","0,11141","0,102425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"0,0924706","0,0924706","0,100646","0,0861204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"0,104941","0,104941","0,107643","0,102843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"0,154353","0,154353","0,15662","0,152592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24,1","0,000235294","0,000235294","0,000538213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"0,217176","0,217176","0,208827","0,223662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25,1","0,000235294","0,000235294",,"0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"0,0543529","0,0543529","0,0500538","0,0576923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"0,0108235","0,0108235","0,0129171","0,00919732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"0,00235294","0,00235294","0,00269107","0,0020903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"0,00188235","0,00188235","0,00215285","0,00167224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D8S1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Asia,Europe,ITALY,SAUDI ARABIA,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2625,500,2125,929,500,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12,1","0,000190476",,"0,000235294","0,000538213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,1","0,000571429","0,001","0,000470588","0,00107643","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"0,000190476",,"0,000235294",,,"0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,1","0,000380952",,"0,000470588","0,00107643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"0,000952381","0,003","0,000470588","0,00107643","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"0,0118095","0,016","0,0108235","0,00968784","0,016","0,0117057",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"0,118286","0,138","0,113647","0,110334","0,138","0,116221",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"0,22419","0,211","0,227294","0,244349","0,211","0,214047",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"0,163238","0,2","0,154588","0,154467","0,2","0,154682",,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"0,140762","0,124","0,144706","0,148547","0,124","0,141722",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"0,112571","0,105","0,114353","0,107643","0,105","0,119565",,,,,,,,,,,,,,,,,,,,,,,,,,,
"21,1","0,000380952",,"0,000470588",,,"0,00083612",,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"0,113524","0,106","0,115294","0,113025","0,106","0,117057",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"0,0790476","0,069","0,0814118","0,0737352","0,069","0,0873746",,,,,,,,,,,,,,,,,,,,,,,,,,,
"23,2","0,000190476",,"0,000235294",,,"0,00041806",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"0,0249524","0,023","0,0254118","0,0242196","0,023","0,0263378",,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"0,008","0,004","0,00894118","0,00914962","0,004","0,00877926",,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"0,000761905",,"0,000941176","0,00107643",,"0,00083612",,,,,,,,,,,,,,,,,,,,,,,,,,,
D8S1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,AUSTRIA,BELGIUM,BOSNIA AND HERZEGOWINA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,KENYA,MONTENEGRO,NETHERLANDS,NORWAY,POLAND,SAUDI ARABIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,THAILAND,VIETNAM
,17478,1243,1000,4523,10712,222,206,171,500,200,200,1000,230,208,785,208,224,304,929,510,200,2084,202,206,523,246,907,733,455,425,1600,3000,1000
6,"0,0000286074",,,"0,000110546",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000166667",
7,"0,0000286074",,,"0,000110546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,0005"
8,"0,010785","0,00482703","0,0055","0,0014371","0,0159167","0,018018","0,00728155","0,00584795","0,017","0,0075","0,015","0,0055","0,0173913","0,0240385","0,0197452","0,0144231","0,0111607","0,0131579","0,0242196",,"0,0025","0,0191939","0,0148515","0,00485437","0,00191205","0,0101626","0,0126792","0,00818554","0,0208791","0,0105882","0,01375","0,001","0,0025"
9,"0,00906854","0,00482703","0,006","0,00176874","0,0129294","0,018018","0,0121359","0,00877193","0,007","0,005","0,01","0,006","0,00869565","0,00961538","0,010828","0,0192308","0,015625","0,00986842","0,0145318","0,00392157","0,0275","0,0167946","0,00742574","0,0121359","0,00669216","0,0101626","0,00771775","0,00545703","0,00989011","0,00823529","0,0159375","0,001","0,0015"
10,"0,0899416","0,0522928","0,055","0,135972","0,0781367","0,0945946","0,0873786","0,0584795","0,062","0,055","0,0975","0,055","0,0826087","0,0841346","0,0878981","0,0480769","0,0758929","0,118421","0,0769645","0,0156863","0,07","0,0890115","0,0668317","0,065534","0,0382409","0,0447154","0,0573319","0,0777626","0,0714286","0,0894118","0,0790625","0,146167","0,1565"
11,"0,088311","0,0595334","0,072","0,123259","0,0784167","0,101351","0,0970874","0,0321637","0,048","0,1","0,08","0,072","0,132609","0,0889423","0,066242","0,0649038","0,0803571","0,0805921","0,0694295","0,054902","0,0825","0,0774952","0,0519802","0,0728155","0,136711","0,0995935","0,0810364","0,0627558","0,0901099","0,0823529","0,083125","0,116333","0,137"
12,"0,135141","0,128319","0,1165","0,126575","0,14129","0,162162","0,150485","0,187135","0,164","0,1525","0,13","0,1165","0,132609","0,134615","0,150318","0,108173","0,178571","0,128289","0,118407","0,145098","0,1175","0,159549","0,128713","0,160194","0,188337","0,144309","0,15215","0,116644","0,127473","0,130588","0,11625","0,116333","0,125"
"12,1","0,0000286074",,,,"0,0000466766",,,,,,,,,,,,,,,,,"0,000239923",,,,,,,,,,,
13,"0,273401","0,213998","0,257","0,171899","0,324683","0,290541","0,313107","0,342105","0,329","0,35","0,345","0,257","0,352174","0,314904","0,33758","0,355769","0,292411","0,309211","0,314316","0,158824","0,325","0,319338","0,39604","0,334951","0,184512","0,341463","0,338479","0,252387","0,287912","0,357647","0,310312","0,172","0,165"
14,"0,208004","0,274739","0,272","0,165709","0,212145","0,191441","0,169903","0,216374","0,237","0,2125","0,2075","0,272","0,184783","0,204327","0,197452","0,216346","0,236607","0,213816","0,205597","0,311765","0,2125","0,195058","0,215347","0,235437","0,192161","0,254065","0,213892","0,248977","0,254945","0,225882","0,22","0,1665","0,1495"
15,"0,135771","0,18745","0,1655","0,185165","0,106143","0,103604","0,123786","0,114035","0,111","0,0975","0,085","0,1655","0,0565217","0,103365","0,0993631","0,134615","0,0825893","0,0986842","0,136706","0,223529","0,14","0,0918906","0,10396","0,0995146","0,200765","0,0752033","0,109702","0,162347","0,108791","0,0705882","0,126562","0,188833","0,166"
"15,3","0,0000286074",,,"0,000110546",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000166667",
16,"0,0418812","0,0623492","0,0425","0,0728499","0,0263723","0,018018","0,0339806","0,0321637","0,023","0,02","0,02","0,0425","0,0152174","0,0360577","0,0261146","0,03125","0,0223214","0,0279605","0,0349839","0,0705882","0,0225","0,0263916","0,0123762","0,0121359","0,043021","0,0162602","0,0248071","0,0566166","0,0252747","0,0223529","0,0315625","0,0765","0,0775"
17,"0,0065797","0,00925181","0,008","0,0128233","0,00350075","0,00225225","0,00485437","0,00292398","0,002",,"0,005","0,008","0,0108696",,"0,0044586","0,00721154","0,00223214",,"0,00484392","0,0117647",,"0,00503839","0,00247525","0,00242718","0,00764818","0,00406504","0,00220507","0,00750341","0,0010989","0,00235294","0,003125","0,0131667","0,0145"
"17,1","0,0000286074","0,000402253",,,,,,,,,,,,,,,,,,"0,000980392",,,,,,,,,,,,,
18,"0,000915437","0,00160901",,"0,00210038","0,00042009",,,,,,"0,005",,"0,00652174",,,,"0,00223214",,,"0,00294118",,,,,,,,"0,000682128","0,0021978",,"0,0003125","0,00183333","0,004"
19,"0,0000572148","0,000402253",,"0,000110546",,,,,,,,,,,,,,,,,,,,,,,,"0,000682128",,,,,"0,0005"
D9S1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Asia,SAUDI ARABIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"0,001","0,001","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"0,008","0,008","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"0,054","0,054","0,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"0,237","0,237","0,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"0,405","0,405","0,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"0,256","0,256","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"0,031","0,031","0,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"0,007","0,007","0,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"0,001","0,001","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D10S1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
