D1S1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,AUSTRIA,BELGIUM,BOSNIA AND HERZEGOWINA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,KENYA,MONTENEGRO,NETHERLANDS,NORWAY,POLAND,SAUDI ARABIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,THAILAND,VIETNAM
"18,3","0,0423937","0,0209171","0,0225","0,0202299","0,0561001","0,0427928","0,0533981","0,0321637","0,05","0,0575","0,07","0,0225","0,0695652","0,0600962","0,0585987","0,0552885","0,0714286","0,0493421","0,0516685","0,0117647","0,0475","0,0537428","0,0717822","0,0533981","0,0200765","0,0607287","0,0496141","0,0272851","0,0648352","0,0847059","0,054375","0,0201667","0,0205"
19,"0,00094399","0,00120676",,"0,00276365","0,000233361","0,00225225",,,,,,,,,,,,,"0,00107643","0,000980392",,"0,000479846",,,"0,000956023",,,"0,00136426",,,,"0,00216667","0,0055"
"19,3","0,00792379","0,00522928","0,0035","0,00265311","0,0108746","0,0112613","0,00728155","0,0116959","0,012","0,0075","0,005","0,0035","0,0217391","0,00721154","0,011465","0,00961538","0,015625","0,00493421","0,00592034","0,00490196","0,015","0,0136756","0,0123762","0,0145631","0,00573614","0,00202429","0,0137817","0,00545703","0,00659341","0,0129412","0,0096875","0,00233333","0,002"
20,"0,0000572115",,,"0,000221092",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000166667","0,0005"
"20,3","0,000429086","0,000402253",,,"0,000653412","0,00225225",,,,"0,0025",,,"0,00217391",,"0,00127389",,"0,00223214",,,,"0,0025","0,000959693",,,,,,"0,000682128",,,"0,0009375",,
D2S1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,AUSTRIA,BELGIUM,BOSNIA AND HERZEGOWINA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,KENYA,MONTENEGRO,NETHERLANDS,NORWAY,POLAND,SAUDI ARABIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,THAILAND,VIETNAM
,17475,1243,1000,4523,10709,221,206,171,500,200,200,1000,230,208,785,208,224,304,929,510,200,2084,201,206,523,247,906,733,454,425,1600,3000,1000
12,"0,0000572246",,,,"0,0000933794",,,,,"0,0025",,,,,,,,,,,,"0,000239923",,,,,,,,,,,
13,"0,000143062",,"0,0005",,"0,000186759","0,00226244",,,,,,"0,0005",,,,,"0,00223214",,,,,,,,,,"0,000551876",,,,"0,0003125",,
14,"0,00037196","0,000402253","0,0005","0,000773823","0,000186759",,,,,,,"0,0005",,,,,,,,,,"0,000239923",,,"0,00382409",,,"0,000682128",,,"0,0009375","0,000333333","0,0005"
15,"0,000658083","0,000804505","0,002","0,000110546","0,000747035",,,,"0,003","0,0025",,"0,002",,,"0,000636943",,,,"0,00161464","0,00196078","0,0025","0,000479846",,"0,00485437",,,"0,00165563",,,,,"0,000166667",
16,"0,040515","0,0506838","0,0565","0,0257572","0,0440751","0,0452489","0,038835","0,0321637","0,055","0,05","0,04","0,0565","0,0478261","0,0456731","0,043949","0,0552885","0,046875","0,0427632","0,0495156","0,0480392","0,0525","0,0381478","0,0323383","0,0436893","0,0774379","0,034413","0,0568433","0,0525239","0,061674","0,0317647","0,0375","0,017","0,025"
17,"0,18392","0,121883","0,1795","0,114857","0,220702","0,228507","0,186893","0,266082","0,24","0,19","0,2","0,1795","0,171739","0,247596","0,204459","0,259615","0,207589","0,225329","0,245963","0,129412","0,225","0,193858","0,20398","0,199029","0,224665","0,218623","0,242274","0,116644","0,25","0,198824","0,237187","0,1005","0,1005"
18,"0,0816309","0,076428","0,0575","0,0845678","0,0832477","0,0791855","0,0703883","0,0701754","0,086","0,0975","0,1125","0,0575","0,0652174","0,0625","0,0917197","0,112981","0,078125","0,0953947","0,088267","0,0607843","0,0825","0,0837332","0,0895522","0,114078","0,0984704","0,0951417","0,0783664","0,0873124","0,0605727","0,0988235","0,07125","0,0833333","0,081"
19,"0,138484","0,152856","0,1405","0,199978","0,110655","0,113122","0,131068","0,119883","0,097","0,1075","0,1075","0,1405","0,156522","0,0865385","0,103185","0,09375","0,0892857","0,125","0,119483","0,154902","0,1075","0,116603","0,106965","0,106796","0,127151","0,0991903","0,0921634","0,151432","0,112335","0,111765","0,114375","0,209667","0,209"
20,"0,133877","0,106597","0,1025","0,122927","0,144598","0,124434","0,169903","0,154971","0,151","0,1375","0,17","0,1025","0,145652","0,161058","0,144586","0,127404","0,149554","0,126645","0,141012","0,107843","0,125","0,151631","0,149254","0,143204","0,239006","0,11336","0,134106","0,10573","0,161894","0,155294","0,139375","0,1095","0,1025"
