population,n,marker,Hobs,PI,PPE,HWE
Cauc,361,FGA,0.8670360110803323,0.03986310725055824,0.7173200592072075,0.044062
Cauc,361,LPL,0.7174515235457064,0.15098871248685938,0.4402674677430758,0.972187
Cauc,361,Penta_C,0.7700831024930748,0.10286139609119022,0.5406903013182067,0.02125
Cauc,361,Penta_D,0.8587257617728532,0.058847000867089744,0.6508888748960839,0.149062
Cauc,361,Penta_E,0.8919667590027701,0.024286185649281367,0.7829964964920407,0.49875
Cauc,361,SE33,0.9501385041551247,0.007911234566953883,0.8953531639869083,0.247812
Cauc,361,TH01,0.7423822714681441,0.09314692183147767,0.5476325771304328,0.225312
Cauc,361,TPOX,0.6537396121883656,0.18108363195494206,0.398767788339002,0.550937
Cauc,361,vWA,0.8060941828254847,0.06604461291733488,0.6206052848689709,0.432812
Hispanic,236,CSF1PO,0.728813559322034,0.1255386383223212,0.4756178511840027,0.895
Hispanic,236,D10S1248,0.7627118644067796,0.1049626544096524,0.5286094059955627,0.4475
Hispanic,236,D12S391,0.8898305084745762,0.03318012065498422,0.7558548290790914,0.105
Hispanic,236,D13S317,0.8516949152542372,0.05260700948003449,0.6657454381194186,0.821875
Hispanic,236,D16S539,0.788135593220339,0.07623527721918989,0.5917940863285733,0.664375
Hispanic,236,D18S51,0.9067796610169492,0.030307382935937963,0.7562899543460603,0.669063
Hispanic,236,D19S433,0.7796610169491526,0.0677247917265154,0.6172110573254823,0.091563
Hispanic,236,D1S1656,0.8813559322033898,0.0284401034185579,0.7679307767422533,0.277813
Hispanic,236,D21S11,0.864406779661017,0.046789715598965824,0.6828804869004337,0.987187
Hispanic,236,D22S1045,0.7330508474576272,0.17426745188164317,0.43876839733378126,0.135313
Hispanic,236,D2S1338,0.8516949152542372,0.029696926170640636,0.747432601918911,0.724688
Hispanic,236,D2S441,0.7542372881355932,0.10984630853203105,0.5249977880318281,0.039688
Hispanic,236,D3S1358,0.7330508474576272,0.09041941970698077,0.5427250650623825,0.911563
Hispanic,236,D5S818,0.7372881355932204,0.14571962079862102,0.48252745564170624,0.451562
Hispanic,236,D6S1043,0.8898305084745762,0.03303648376903193,0.7485587089820791,0.554688
Hispanic,236,D7S820,0.8220338983050848,0.08672076989370872,0.5761232643808193,0.480625
Hispanic,236,D8S1179,0.7838983050847458,0.06212295317437518,0.6303070331814107,0.136875
Hispanic,236,F13A01,0.7966101694915254,0.07813846595805803,0.5828664660297157,0.911563
Hispanic,236,F13B,0.7033898305084746,0.13706549841999427,0.4635188102067687,0.332188
Hispanic,236,FESFPS,0.6822033898305084,0.14162596954898016,0.45062729073240504,0.82375
Hispanic,236,FGA,0.8813559322033898,0.02782964665326057,0.7585436082201715,0.878437
Hispanic,236,LPL,0.6610169491525424,0.1545173800632002,0.43742180013759546,0.778125
Hispanic,236,Penta_C,0.7542372881355932,0.07878483194484344,0.578942114189233,0.5275
Hispanic,236,Penta_D,0.8680851063829788,0.04985061113626074,0.6775100377179781,0.664375
Hispanic,236,Penta_E,0.8983050847457628,0.018134156851479483,0.8198954294066975,0.551562
Hispanic,236,SE33,0.9279661016949152,0.009946854352197661,0.8789599592284952,0.726875
Hispanic,236,TH01,0.7584745762711864,0.08478167193335251,0.5624445037851072,0.791875
Hispanic,236,TPOX,0.673728813559322,0.15537920137891403,0.4452181290620496,0.235937
Hispanic,236,vWA,0.788135593220339,0.07300344728526287,0.6009133097329248,0.669063
Asian,97,CSF1PO,0.7835051546391752,0.10404931448613029,0.5350754570810761,0.339375
Asian,97,D10S1248,0.7525773195876289,0.09193325539377191,0.5618942080470425,0.625
Asian,97,D12S391,0.865979381443299,0.047295142948241026,0.6848841076351682,0.854688
Asian,97,D13S317,0.8041237113402062,0.07577850993729406,0.6069474025879397,0.215
Asian,97,D16S539,0.7422680412371134,0.09278350515463918,0.557996895906625,0.569688
Asian,97,D18S51,0.8762886597938144,0.050696141991710034,0.6806955353315168,0.935
Asian,97,D19S433,0.7835051546391752,0.07237751089382503,0.6134511305559183,0.333125
Asian,97,D1S1656,0.8350515463917526,0.04814539270910829,0.691553266409716,0.615
Asian,97,D21S11,0.7731958762886598,0.05664789031778082,0.6439764378795477,0.855938
