marker,allele,frequency
Penta_E,17,0.08247422680412371
Penta_E,18,0.07731958762886598
Penta_E,19,0.041237113402061855
Penta_E,19.4,0.010309278350515464
Penta_E,20,0.020618556701030927
Penta_E,21,0.020618556701030927
Penta_E,22,0.030927835051546393
Penta_E,23,0.020618556701030927
Penta_E,25,0.005154639175257732
SE33,15,0.010309278350515464
SE33,16,0.030927835051546393
SE33,17,0.030927835051546393
SE33,18,0.061855670103092786
SE33,19,0.061855670103092786
SE33,20,0.09278350515463918
SE33,20.2,0.015463917525773196
SE33,21,0.05154639175257732
SE33,21.2,0.02577319587628866
SE33,22,0.015463917525773196
SE33,22.2,0.041237113402061855
SE33,23,0.010309278350515464
SE33,23.2,0.04639175257731959
SE33,24.2,0.061855670103092786
SE33,25.2,0.05670103092783505
SE33,26.2,0.07216494845360824
SE33,27.2,0.10309278350515463
SE33,28.2,0.07731958762886598
SE33,29.2,0.061855670103092786
SE33,30.2,0.03608247422680412
SE33,31.2,0.02577319587628866
SE33,32.2,0.010309278350515464
TH01,6,0.17010309278350516
TH01,7,0.26804123711340205
TH01,8,0.07216494845360824
TH01,9,0.44329896907216493
TH01,9.3,0.041237113402061855
TH01,10,0.005154639175257732
TPOX,8,0.5463917525773195
TPOX,9,0.08247422680412371
TPOX,10,0.030927835051546393
TPOX,11,0.29381443298969073
TPOX,12,0.04639175257731959
vWA,14,0.1958762886597938
vWA,15,0.020618556701030927
vWA,16,0.13917525773195877
vWA,17,0.31443298969072164
vWA,18,0.20618556701030927
vWA,19,0.10824742268041238
vWA,20,0.015463917525773196
