marker,allele,frequency
D19S433,12,0.0833178
D19S433,12.1,0.000653473
D19S433,12.2,0.000980209
D19S433,13,0.23273
D19S433,13.2,0.0158701
D19S433,14,0.348628
D19S433,14.2,0.023525
D19S433,15,0.163835
D19S433,15.2,0.0423357
D19S433,16,0.0523245
D19S433,16.2,0.0207244
D19S433,17,0.00410754
D19S433,17.2,0.00364078
D19S433,18,0.00028006
D19S433,18.2,0.00158701
D19S433,19.2,0.00014003
D21S11,24.2,0.000606796
D21S11,25,0.00028006
D21S11,25.2,0.00042009
D21S11,26,0.00214712
D21S11,26.2,9.33532e-05
D21S11,27,0.0320668
D21S11,28,0.1573
D21S11,28.1,4.66766e-05
D21S11,28.2,0.00014003
D21S11,28.3,4.66766e-05
D21S11,29,0.212939
D21S11,29.2,0.000980209
D21S11,29.3,0.000233383
D21S11,30,0.242858
D21S11,30.2,0.0406553
D21S11,31,0.0743559
D21S11,31.1,4.66766e-05
D21S11,31.2,0.0914395
D21S11,31.3,4.66766e-05
D21S11,32,0.0132562
D21S11,32.2,0.0940534
D21S11,33,0.00158701
D21S11,33.1,4.66766e-05
D21S11,33.2,0.0301998
D21S11,34,0.000233383
D21S11,34.1,9.33532e-05
D21S11,34.2,0.00336072
D21S11,35,0.000233383
D21S11,35.2,0.000233383
D21S2055,16.1,0.082
D21S2055,17.1,0.013
D21S2055,18.1,0.013
D21S2055,19.1,0.108
D21S2055,20.1,0.01
D21S2055,23,0.001
D21S2055,24,0.026
D21S2055,25,0.131
D21S2055,26,0.121
D21S2055,27,0.014
D21S2055,28,0.012
D21S2055,29,0.056
D21S2055,30,0.032
D21S2055,31,0.041
D21S2055,32,0.102
D21S2055,33,0.124
D21S2055,34,0.07
D21S2055,35,0.034
D21S2055,36,0.008
D21S2055,37,0.002
D22S1045,10,0.000560119
D22S1045,11,0.135736
D22S1045,12,0.0127427
D22S1045,13,0.00490105
D22S1045,14,0.0496639
D22S1045,15,0.35773
D22S1045,16,0.342186
D22S1045,17,0.0870519
D22S1045,18,0.007795
D22S1045,19,0.0014003
D22S1045,20,0.000233383
CSF1PO,5,8.29187e-05
CSF1PO,6,0.000165837
CSF1PO,7,0.000580431
CSF1PO,8,0.00323383
CSF1PO,9,0.0271973
CSF1PO,10,0.259204
CSF1PO,10.3,8.29187e-05
CSF1PO,11,0.309784
CSF1PO,12,0.326534
CSF1PO,13,0.0610282
CSF1PO,14,0.0106136
CSF1PO,15,0.00140962
CSF1PO,16,8.29187e-05
FGA,15,4.66897e-05
FGA,16,0.000513587
FGA,17,0.00116724
FGA,18,0.0144738
FGA,18.2,4.66897e-05
FGA,19,0.0690074
FGA,19.1,9.33794e-05
FGA,19.2,0.000280138
FGA,20,0.136521
FGA,20.2,0.000466897
FGA,21,0.176814
FGA,21.2,0.002708
FGA,22,0.180502
FGA,22.1,4.66897e-05
FGA,22.2,0.00910449
FGA,23,0.14824
FGA,23.2,0.00485573
FGA,24,0.13484
FGA,24.1,4.66897e-05
FGA,24.2,0.000980484
FGA,25,0.082454
FGA,25.2,0.000186759
FGA,26,0.0306751
FGA,26.2,9.33794e-05
FGA,27,0.00476235
FGA,28,0.000887104
FGA,29,0.000140069
FGA,33.2,4.66897e-05
Penta D,2.2,0.0785
Penta D,3.2,0.0065
Penta D,5,0.022
Penta D,6,0.003
Penta D,6.4,0.0005
Penta D,7,0.0225
Penta D,8,0.0515
Penta D,9,0.171
Penta D,10,0.1385
Penta D,10.3,0.0005
Penta D,11,0.1535
Penta D,12,0.16
Penta D,13,0.131
Penta D,14,0.0445
Penta D,15,0.0155
Penta D,16,0.001
Penta E,1,0.0005
Penta E,5,0.079
Penta E,7,0.1105
Penta E,8,0.099
Penta E,9,0.022
Penta E,10,0.077
Penta E,11,0.0785
Penta E,12,0.154
Penta E,13,0.115
Penta E,14,0.0535
Penta E,15,0.066
Penta E,16,0.045
Penta E,17,0.051
Penta E,18,0.0225
Penta E,19,0.008
Penta E,19.4,0.0015
Penta E,20,0.008
Penta E,21,0.0075
Penta E,22,0.0005
Penta E,23,0.0005
Penta E,25,0.0005
SE33,6.3,0.00225225
SE33,12,0.00675676
SE33,13,0.0112613
SE33,13.2,0.00225225
SE33,14,0.0202703
SE33,14.2,0.00225225
SE33,15,0.0382883
SE33,16,0.027027
SE33,16.3,0.00900901
SE33,17,0.0698198
SE33,17.2,0.00225225
SE33,17.3,0.00225225
SE33,18,0.0563063
SE33,18.2,0.00675676
SE33,18.3,0.00225225
SE33,19,0.0675676
SE33,19.2,0.0045045
SE33,20,0.0405405
SE33,20.2,0.00900901
SE33,21,0.027027
SE33,21.2,0.0135135
SE33,22,0.0112613
SE33,22.2,0.018018
SE33,23.2,0.0405405
SE33,24.2,0.0427928
SE33,25,0.00225225
SE33,25.2,0.0472973
SE33,26,0.00225225
SE33,26.2,0.0472973
SE33,27.2,0.0878378
SE33,28,0.00225225
SE33,28.2,0.0788288
SE33,29.2,0.0585586
SE33,30.2,0.0630631
SE33,31,0.00225225
SE33,31.2,0.0292793
SE33,32,0.00225225
SE33,32.2,0.0135135
SE33,33,0.0112613
SE33,33.2,0.0045045
SE33,34,0.00675676
SE33,34.2,0.0045045
SE33,35,0.00225225
TH01,5,0.00205377
TH01,6,0.23329
TH01,7,0.166402
TH01,7.3,4.66766e-05
TH01,8,0.111417
TH01,8.3,0.000466766
TH01,9,0.166309
TH01,9.3,0.308579
TH01,10,0.0113891
TH01,10.3,4.66766e-05
TPOX,6,0.000497512
TPOX,7,0.00066335
TPOX,8,0.543698
TPOX,9,0.101493
TPOX,10,0.0616086
TPOX,11,0.255224
TPOX,12,0.0358209
TPOX,13,0.000829187
TPOX,14,0.000165837
VWA,10,4.67028e-05
VWA,12,0.000373622
VWA,13,0.00214833
VWA,14,0.100644
VWA,15,0.10298
VWA,16,0.208294
VWA,17,0.2755
VWA,18,0.208341
VWA,19,0.0864001
VWA,20,0.0140575
VWA,21,0.00121427
